Tournament,Step,PlayerID,Action,Reward,ObservationDict,AgentPosition,IsRFIOpportunity,RaiserPosition
2,5,1,all_in,30200.00,"{""active_in_hand"": [0, 1, 2, 3], ""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 8800, ""1"": 8800, ""2"": 10000, ""3"": 10000, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""7C"", ""9C""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 37800, ""small_blind"": 50, ""stacks"": {""0"": 1200, ""1"": 1200, ""2"": 0, ""3"": 0, ""4"": 10000, ""5"": 9800}, ""stage"": ""preflop""}",N/A,False,2
2,7,1,call,0.00,"{""active_in_hand"": [0, 4, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 50, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""6S"", ""6H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 40200.0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 9950, ""5"": 9700}, ""stage"": ""preflop""}",N/A,False,5
2,8,1,call,0.00,"{""active_in_hand"": [0, 4, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 300, ""5"": 600}, ""current_player_id"": 0, ""hand"": [""6S"", ""6H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 1000, ""small_blind"": 50, ""stacks"": {""0"": 40100.0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 9700, ""5"": 9200}, ""stage"": ""preflop""}",N/A,False,4
2,9,1,all_in,19800.00,"{""active_in_hand"": [0, 4, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 600, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 10000, ""5"": 9800}, ""current_player_id"": 0, ""hand"": [""6S"", ""6H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 1, ""player_id"": 0, ""pot"": 20400, ""small_blind"": 50, ""stacks"": {""0"": 39600.0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,0
3,2,1,fold,0.00,"{""active_in_hand"": [0, 1, 2, 3, 5], ""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 10000, ""4"": 0, ""5"": 10000}, ""current_player_id"": 0, ""hand"": [""QD"", ""AD""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 20150, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 9950, ""2"": 9900, ""3"": 0, ""4"": 10000, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,3
3,4,1,all_in,50000.00,"{""active_in_hand"": [0, 1, 2, 4, 5], ""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 0, ""4"": 100, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""KS"", ""AC""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 5, ""player_id"": 0, ""pot"": 350, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 9950, ""2"": 9850, ""3"": 0, ""4"": 9900, ""5"": 19950.0}, ""stage"": ""preflop""}",N/A,False,5
4,2,1,fold,0.00,"{""active_in_hand"": [0, 1, 2, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 10000}, ""current_player_id"": 0, ""hand"": [""TS"", ""5C""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 5, ""player_id"": 0, ""pot"": 10150, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 10000, ""2"": 10000, ""3"": 9950, ""4"": 9900, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,5
4,4,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 5], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 0, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""5C"", ""JD""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 350, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 9950, ""2"": 9900, ""3"": 0, ""4"": 0, ""5"": 29800.0}, ""stage"": ""preflop""}",N/A,False,2
4,5,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 300, ""1"": 400, ""2"": 600, ""3"": 0, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""5C"", ""JD""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 1500, ""small_blind"": 50, ""stacks"": {""0"": 9700, ""1"": 9600, ""2"": 9400, ""3"": 0, ""4"": 0, ""5"": 29800.0}, ""stage"": ""preflop""}",N/A,False,2
4,6,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 1050, ""1"": 1525, ""2"": 3975, ""3"": 0, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""5C"", ""JD""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 6750, ""small_blind"": 50, ""stacks"": {""0"": 8950, ""1"": 8475, ""2"": 6025, ""3"": 0, ""4"": 0, ""5"": 29800.0}, ""stage"": ""preflop""}",N/A,False,1
