episode,reward,avg_reward,agent_steps,total_steps,epsilon,avg_loss,duration_sec,num_rounds,avg_round_reward
30301,-10000.0,-10000.0,68,101,0.3073078244545199,15324367.2,0.8921809196472168,30,-333.3333333333333
30302,-10000.0,-10000.0,30,52,0.30727673061294813,5950026.2,1.8444702625274658,15,-666.6666666666666
30303,-10000.0,-10000.0,44,68,0.30723113474794234,5374975.810126582,2.585127353668213,21,-476.1904761904762
30304,-10000.0,-10000.0,24,41,0.3072062685037771,5737405.55875,1.4100596904754639,13,-769.2307692307693
30305,-10000.0,-10000.0,16,28,0.30718969266533913,5898511.81375,0.9580183029174805,10,-1000.0
30306,-10000.0,-10000.0,8,15,0.3071814052433821,5990546.6625,0.49527835845947266,5,-2000.0
30307,50000.0,-1428.5714285714287,127,186,0.3070498868125736,2621761.855625,6.923272132873535,52,961.5384615384615
30308,-10000.0,-2500.0,27,38,0.3070219369645111,2775640.8821875,2.2462470531463623,11,-909.0909090909091
30309,50000.0,3333.3333333333335,225,357,0.30678916824238206,2701918.6209375,25.344370365142822,123,406.5040650406504
30310,-10000.0,2000.0,46,62,0.30674161220284046,1969084.1725,4.214787244796753,16,-625.0
30311,-10000.0,909.0909090909091,21,30,0.30671990547318245,2495029.095625,1.9328246116638184,6,-1666.6666666666667
30312,-10000.0,0.0,41,60,0.3066775322359656,3572373.916875,5.5423362255096436,17,-588.2352941176471
30313,-10000.0,-769.2307692307693,15,26,0.306662032002314,4213392.775,2.1853644847869873,10,-1000.0
30314,-10000.0,-1428.5714285714287,85,124,0.306574219300234,3011603.1771875,10.361201047897339,31,-322.5806451612903
30315,-10000.0,-2000.0,58,86,0.3065143214622432,3575823.4146875,4.539588689804077,26,-384.61538461538464
30316,-10000.0,-2500.0,49,75,0.3064637316509899,6657893.048125,4.303045749664307,19,-526.3157894736842
30317,-10000.0,-2941.176470588235,92,143,0.3063687801749442,7152691.545,9.67272400856018,42,-238.0952380952381
30318,-10000.0,-3333.3333333333335,16,22,0.3063522713328927,7455707.005,1.7734615802764893,6,-1666.6666666666667
30319,-10000.0,-3684.2105263157896,4,5,0.30634814432873625,7462237.79625,0.4516935348510742,1,-10000.0
30320,-10000.0,-4000.0,11,17,0.306336795492894,7807519.3375,0.8779313564300537,4,-2500.0
30321,-10000.0,-4285.714285714285,34,46,0.30630172121905797,7627735.33125,2.6278347969055176,12,-833.3333333333334
30322,50000.0,-1818.1818181818182,74,106,0.3062254037018183,4624147.95125,8.843094825744629,27,1851.851851851852
30323,-10000.0,-2173.913043478261,24,44,0.30620065813813757,4306932.8475,1.8745217323303223,12,-833.3333333333334
30324,-10000.0,-2500.0,35,47,0.3061645761802268,4224655.39375,2.675400495529175,11,-909.0909090909091
30325,-10000.0,-2800.0,9,12,0.30615529898303717,4450976.44375,0.7328667640686035,3,-3333.3333333333335
30326,-10000.0,-3076.923076923077,12,16,0.3061429300361703,4988514.43,0.9234323501586914,4,-2500.0
30327,-10000.0,-3333.3333333333335,173,238,0.30596469350010425,1394874.5409375,14.701044797897339,63,-158.73015873015873
30328,-10000.0,-3571.4285714285716,16,27,0.30594821698369373,1278153.9715625,1.3055987358093262,7,-1428.5714285714287
30329,-10000.0,-3793.103448275862,17,23,0.30593071212921696,1226629.028125,1.2728416919708252,5,-2000.0
30330,-10000.0,-4000.0,7,9,0.3059235046804235,1910843.449375,0.5274574756622314,2,-5000.0
30331,-10000.0,-4193.548387096775,45,65,0.30587717710391826,5579391.5196875,4.393764972686768,17,-588.2352941176471
30332,-10000.0,-4375.0,10,18,0.3058668835024052,6856927.08625,0.8115634918212891,5,-2000.0
30333,-10000.0,-4545.454545454545,55,71,0.30581027789307,8884227.255,4.307532787322998,14,-714.2857142857143
30334,-10000.0,-4705.882352941177,3,4,0.3058071907620552,8939076.995,0.2490553855895996,1,-10000.0
30335,-10000.0,-4857.142857142857,28,40,0.3057783797721649,6957334.70375,2.0511066913604736,10,-1000.0
30336,-10000.0,-5000.0,11,17,0.3057670622725115,6314457.9025,0.8900609016418457,5,-2000.0
30337,-10000.0,-5135.135135135135,21,27,0.3057454578652241,4780182.3475,1.5826642513275146,6,-1666.6666666666667
30338,50000.0,-3684.2105263157896,82,124,0.305661119518042,3031432.839375,6.236063480377197,38,1315.7894736842106
30339,-10000.0,-3846.153846153846,71,107,0.30558812277830105,2078892.016875,5.489875793457031,28,-357.14285714285717
30340,-10000.0,-4000.0,19,32,0.3055685928343241,1903471.913125,1.5060858726501465,10,-1000.0
30341,-10000.0,-4146.341463414634,2,4,0.3055665371586741,1876574.516875,0.1500706672668457,2,-5000.0
30342,-10000.0,-4285.714285714285,40,54,0.3055254279622991,1866140.2959375,2.963961601257324,12,-833.3333333333334
30343,50000.0,-3023.2558139534885,92,126,0.3054309080066929,3150248.00875,6.433699607849121,33,1515.1515151515152
30344,-10000.0,-3181.818181818182,32,44,0.30539804169078727,3504287.921875,2.311829090118408,11,-909.0909090909091
30345,-10000.0,-3333.3333333333335,40,53,0.305356966190136,8218785.76625,2.8216774463653564,11,-909.0909090909091
30346,-10000.0,-3478.2608695652175,107,144,0.3052471295971328,7273107.13,7.501780033111572,33,-303.030303030303
30347,-10000.0,-3617.021276595745,4,7,0.30524302469559006,6782129.711875,0.320645809173584,2,-5000.0
30348,-10000.0,-3750.0,28,41,0.3052142926834204,5959258.313125,1.9471757411956787,12,-833.3333333333334
30349,50000.0,-2653.061224489796,98,135,0.30511376231195797,5706913.16,6.992264986038208,33,1515.1515151515152
